scope,fold,cohort_type,case_count,macro_case_dice_threshold_0_5,median_case_dice_threshold_0_5,zero_dice_case_count,case_dice_lt_0_30_count,voxel_dice_threshold_0_5,voxel_sensitivity_threshold_0_5,voxel_precision_threshold_0_5,tp,fp,fn,tn
fold,0,nca,251,0.46036643835342206,0.541958041958042,41,89,0.606509878685052,0.6090328025268511,0.6040077710810449,1094058.0,717273.0,702328.0,315740857.0
fold,0,pca,367,0.6979478429409607,0.7575336114974501,12,31,0.8216366225206431,0.8237334389697907,0.8195504538751877,7269642.0,1600638.0,1555594.0,439878523.0
fold,1,nca,252,0.4636507038180893,0.5219181700308944,46,80,0.5501007495683294,0.5044323066481368,0.6048614808906954,780382.0,509801.0,766668.0,304698122.0
fold,1,pca,366,0.6913962035774335,0.7635574872055372,14,35,0.8261592421716605,0.8615289476663376,0.7935791853454727,7206787.0,1874584.0,1158326.0,454692605.0
fold,2,nca,251,0.44189274853813354,0.4841463414634146,44,88,0.5387715171030045,0.4930191110745524,0.5938842561666492,719236.0,491835.0,739604.0,325207694.0
fold,2,pca,366,0.6627952847060805,0.7572190670220154,25,51,0.8287877063710378,0.835258167324981,0.8224167237134242,8295516.0,1791239.0,1636163.0,462000322.0
fold,3,nca,251,0.43036343915123915,0.46523754345307067,55,97,0.4101933527560786,0.3108949432878191,0.6026896416502312,365785.0,241136.0,810770.0,324718853.0
fold,3,pca,366,0.7105070800479854,0.7807896352610846,17,29,0.8366663107821434,0.8452060770737505,0.8282973859860047,7154721.0,1483144.0,1310340.0,446469848.0
fold,4,nca,251,0.4625586842869291,0.5291396854764108,50,81,0.5468955560330366,0.4649048598693866,0.6639984256004686,725405.0,367075.0,834925.0,326503644.0
fold,4,pca,366,0.7022454328093846,0.7717241994469717,13,26,0.8257708381906714,0.8227976253859464,0.8287656165751635,7124264.0,1471971.0,1534322.0,464548039.0
all_folds_oof,all,nca,1256,0.45177586485264254,0.513451810772204,236,435,0.543845624285531,0.488763404840406,0.6129199236325567,3684866.0,2327120.0,3854295.0,1596869170.0
all_folds_oof,all,pca,1831,0.6929810828928967,0.766654373096204,81,172,0.8277855869301008,0.8373909992332584,0.818398036106064,37050930.0,8221576.0,7194745.0,2267589337.0
