model,scope,fold,cohort_type,threshold,case_count,macro_case_dice,median_case_dice,zero_dice_case_count,case_dice_lt_0_30_count,voxel_dice,voxel_sensitivity,voxel_precision,tp,fp,fn
nnUNetResEnc_Layer1_sourceaware,fold,0,all,0.05,618,0.5895825651908734,0.692592498876105,44,124,0.7579808277716441,0.8669054500339025,0.6733730895075555,9207942.0,4466412.0,1413680.0
nnUNetResEnc_Layer1_sourceaware,fold,0,all,0.1,618,0.5950512144362788,0.7001965786444082,45,120,0.7721419845109116,0.8472199443738442,0.7092871903546054,8998850.0,3688324.0,1622772.0
nnUNetResEnc_Layer1_sourceaware,fold,0,all,0.2,618,0.5988929213381969,0.6968094811496559,47,116,0.7807504746023773,0.826083906958843,0.7401337720985285,8774351.0,3080737.0,1847271.0
nnUNetResEnc_Layer1_sourceaware,fold,0,all,0.3,618,0.6005228430847899,0.6984949678019275,49,118,0.783873871805822,0.8117687675196876,0.757832397267504,8622301.0,2755282.0,1999321.0
nnUNetResEnc_Layer1_sourceaware,fold,0,all,0.4,618,0.6012013482548519,0.7014236332453392,51,119,0.7850826631812843,0.7994096381889696,0.7712601811742629,8491027.0,2518263.0,2130595.0
nnUNetResEnc_Layer1_sourceaware,fold,0,all,0.5,618,0.6014544245728831,0.7050086876995801,53,120,0.785204762112868,0.7874221093539198,0.7829998677165833,8363700.0,2317911.0,2257922.0
nnUNetResEnc_Layer1_sourceaware,fold,0,all,0.6,618,0.6013848482595463,0.7033225105019483,56,117,0.7842956846078635,0.7746817764744406,0.7941512111216226,8228377.0,2132845.0,2393245.0
nnUNetResEnc_Layer1_sourceaware,fold,0,all,0.7,618,0.6007868654287163,0.7030579236909819,60,120,0.7820235940606667,0.7594679042428737,0.8059600701734825,8066781.0,1942128.0,2554841.0
nnUNetResEnc_Layer1_sourceaware,fold,0,all,0.8,618,0.5997368128488857,0.6967824202288107,62,122,0.7766032557560184,0.7378418286773903,0.8196630388627536,7837077.0,1724263.0,2784545.0
nnUNetResEnc_Layer1_sourceaware,fold,0,all,0.9,618,0.5956409535319377,0.6960973143215581,64,122,0.7600264075590659,0.694423318773724,0.8393178767524521,7375902.0,1412070.0,3245720.0
nnUNetResEnc_Layer1_sourceaware,fold,0,nca,0.05,251,0.4538961763866087,0.4966476285075739,34,87,0.6093682111043796,0.7206140551084232,0.527876506761055,1294501.0,1157779.0,501885.0
nnUNetResEnc_Layer1_sourceaware,fold,0,nca,0.1,251,0.4577005345968721,0.5077697526811118,35,85,0.6141755548332011,0.6931310976594117,0.5513684011024437,1245131.0,1013125.0,551255.0
nnUNetResEnc_Layer1_sourceaware,fold,0,nca,0.2,251,0.46013065196493325,0.5159278235687236,37,84,0.6148841538056928,0.6631136069864717,0.5731946678625786,1191208.0,886983.0,605178.0
nnUNetResEnc_Layer1_sourceaware,fold,0,nca,0.3,251,0.46091715170592856,0.5293284216491924,39,86,0.6137319396549208,0.6436756910819835,0.5864503092800237,1156290.0,815386.0,640096.0
nnUNetResEnc_Layer1_sourceaware,fold,0,nca,0.4,251,0.4607895891578145,0.5316983445738811,40,88,0.6108719762743499,0.6264026773755752,0.5960927633642135,1125261.0,762467.0,671125.0
nnUNetResEnc_Layer1_sourceaware,fold,0,nca,0.5,251,0.46036643835342206,0.541958041958042,41,89,0.606509878685052,0.6090328025268511,0.6040077710810449,1094058.0,717273.0,702328.0
